common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,4,1,4,2,0,5,1,3,2,1,1,3,3,1,1,1,2,36,2000
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,1,1,0,1,1,5,0,0,2,2,0,0,1,2,1,0,1,20,2000
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,2000
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2000
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2000
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2000
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Black-capped Chickadee,Parus atricapillus,Parus,atricapillus,Paridae,0,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,7,2000
